,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,flightpath,distanceAt,cartX,cartY,trueAnomadj,dif
513,EKS-2 ,NR (9/17),Russia,Ministry of Defense,Military,Earth Observation,Early Warning,Elliptical,Molniya,268.0,1650,38511,0.6970000000000001,63.8,713.8,,,,2017-05-25,,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2017-027A,42719,Second in the EKS series.,2017,5,25,(Integrated Space System Cosmos 2518 Tundra 12L),4.6774823953448035,44882,8021,52903,26451.5,36861,37947.2540245009,18973.62701225045,0.00014675516931754876,42814.06465201939,42828.0,31872.692574281107,118.92795736672053,31872.692574281104,4.677482395344803,18430.5,3.9974487722496908,2.760796464746143,0.6331795989209353,32167.08626662148,19143.9575346915,-13093.22155981925,5.521592929492286,0.0
523,ERG ,NR (1/17),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,,Elliptical,,296.0,460,33200,0.706,31.0,580.0,350.0,,750.0,2016-12-20,1.0,Japan Aerospace Exploration Agency (JAXA),Japan,Uchinoura Space Center,Epsilon,2016-080A,41896,Study of the Van Allen belts.,2016,12,20,(Exploration of Energization and Radiation in Geospace Arase),5.1661745859032155,39571,6831,46402,23201.0,32740,32882.183686610595,16441.091843305298,0.00017865238112926528,35169.894000088025,34800.0,28917.468400072376,97.69415000024452,28917.46840007238,5.1661745859032155,16370.0,4.247218127750936,2.6401175009995965,0.7277945842985131,24177.62463313422,12477.900610864273,-13860.849528500996,5.280235001999193,0.0
612,Galileo FOC FM1 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,118.0,17231,25971,0.156,49.78,776.25,733.0,660.0,,2014-08-22,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2014-050A,40128,Placed into wrong orbit subsequently maneuvered into orbit where it can work with Galileo constellation.,2014,8,22,(0201 Galileo 5 PRN E18),2.059488517353309,32342,23602,55944,27972.0,8740,55257.06774703124,27628.53387351562,0.00013495332391354062,46558.21083150926,46575.0,15260.746883661372,129.32836342085906,15260.74688366137,2.0594885173533086,4370.0,3.1352557261495244,3.1361779905790685,0.0010008065538749768,25964.54438587306,27970.35981764049,-299.1925527979769,6.272355981158137,0.0
613,Galileo FOC FM10 ,NR (12/16),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,65.0,23272,23280,0.000135,57.4,847.01,723.0,,,2016-05-24,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2016-030A,41549,,2016,5,24,(0210 Galileo 13 PRN E01),1.1344640137963142,29651,29643,59294,29647.0,8,59293.99946031639,29646.999730158193,0.00012367950403911946,50802.15477895378,50820.6,9172.611279533323,141.11709660820495,9172.611279533321,1.1344640137963142,4.0,1.1345863723285423,1.1347087343499322,0.00012235853181666477,23274.308979763882,-19067.837639027075,22701.589534440747,2.2694174686998645,0.0
614,Galileo FOC FM11 ,NR (12/16),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,164.0,23483,23530,0.000787,57.4,856.9,723.0,,,2016-05-24,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2016-030B,41550,,2016,5,24,(0211 Galileo 14 PRN E02),2.8623399732707004,29901,29854,59755,29877.5,47,59754.98151618826,29877.49075809413,0.00012225101750737194,51395.771056062586,51414.0,23413.629036650735,142.76603071128497,23413.629036650735,2.862339973270701,23.5,2.8625567358860025,2.86277341656295,0.00021676267393954182,23529.104120160304,25351.2725936981,-15810.68719190755,5.7255468331259,0.0
615,Galileo FOC FM12 ,NR (12/16),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,122.0,23039,23055,0.000272,54.6,846.0,723.0,,,2016-11-17,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Ariane 5,2016-069B,41860,,2016,11,17,(0212 Galileo 16),2.129301687433082,29426,29410,58836,29418.0,16,58835.99782446118,29417.99891223059,0.00012512645760791666,50214.68222866124,50760.0,17017.19786637964,139.4852284129479,17017.197866379644,2.1293016874330823,8.0,2.1295323232718393,2.1297629424810705,0.00023063583706442803,23051.24181779814,-12871.605078144948,-26452.60771577379,4.259525884962141,0.0
616,Galileo FOC FM13 ,NR (12/16),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,43.0,22982,22982,0.0,54.6,834.0,723.0,,,2016-11-17,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Ariane 5,2016-069C,41861,,2016,11,17,(0213 Galileo 17),0.7504915783575618,29353,29353,58706,29353.0,0,58706.0,29353.0,0.00012554231224036746,50048.347804440564,50040.0,5977.997098863735,139.02318834566825,5977.997098863734,0.7504915783575618,0.0,0.7504915783575618,0.7504915783575618,0.0,22982.0,2047.561773811308,29281.49756727662,1.5009831567151235,0.0
617,Galileo FOC FM14 ,NR (12/16),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,118.0,23272,23296,0.000405,54.6,847.0,723.0,,,2016-11-17,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Ariane 5,2016-069D,41862,,2016,11,17,(0214 Galileo 18),2.059488517353309,29667,29643,59310,29655.0,24,59309.99514415762,29654.99757207881,0.00012362946006848124,50822.71898380194,50820.0,16658.55788913508,141.17421939944984,16658.55788913508,2.0594885173533086,12.0,2.0598460431498977,2.06020353492561,0.000357525787823944,23289.642273575362,-16547.691038216388,-24608.79613352182,4.12040706985122,0.0
618,Galileo FOC FM2 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,95.0,13810,25918,0.231,49.77,705.11,733.0,660.0,,2014-08-22,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2014-050B,40129,Placed into wrong orbit subsequently maneuvered into orbit where it can work with Galileo constellation.,2014,8,22,(0202 Galileo 6 PRN E14),1.6580627893946132,32289,20181,52470,26235.0,12108,51053.86602403387,25526.933012016936,0.00014857552115248536,42289.50542082269,42306.6,11159.730597161544,117.47084839117413,11159.730597161542,1.658062789394613,6054.0,3.1375034981928827,3.1383606786432927,0.0009708498140563792,25924.234332476495,26234.451918020346,-165.00366685770953,6.276721357286585,0.0
619,Galileo FOC FM3 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,61.0,23516,23574,0.0009689999999999999,55.0,858.55,723.0,,,2015-03-27,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2015-017A,40544,,2015,3,27,(0203 Galileo 7 PRN E26),1.064650843716541,29945,29887,59832,29916.0,58,59831.97188794633,29915.985943973166,0.00012201509945912205,51495.14556011654,51513.0,8725.566331019747,143.04207100032374,8725.566331019749,1.0646508437165414,29.0,1.065498748541931,1.0663468521173523,0.0008479047155642395,23530.96754873533,-15939.02951082037,25316.275239188122,2.1326937042347045,0.0
