,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,trueAnomadj,flightpath,distanceAt,cartX,cartY
1135,SkyTerra 1,USA,USA,LightSquared,Commercial,Communications,,GEO,,258.7,35782,35791,0.00010700000000000001,6.06,1436.09,5360.0,3200.0,,2010-11-14,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2010-061A,37218,Part of a fourth generation or 4G wireless system designed to reach nearly every American by the end of 2016. 22-m diameter L-band antenna; 2 m Ku-band antenna.,2010,11,14,,4.51516677490933,42162,42153,84315,42157.5,9,84314.99951965842,42157.49975982921,7.293846042816265e-05,86143.65137810822,86165.4,61903.78503199055,239.28792049474504,61903.78503199054,4.515166774909329,4.5,4.515061851340717,1.7682283783066155,3.536456756613231,0.00010492356825008014,35787.384348269516,-38913.43189848817,-16217.263059317755
1150,Spaceway 3,USA,USA,Hughes Network Systems,Commercial,Communications,,GEO,,265.07,35785,35787,2.37e-05,0.06,1436.1,6100.0,3655.0,,2007-08-14,12.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036A,32018,,2007,8,14,,4.626344248261369,42158,42156,84314,42157.0,2,84313.99997627914,42156.99998813957,7.293975805388373e-05,86142.11885016024,86166.0,63426.920676699934,239.28366347266734,63426.920676699934,4.626344248261368,1.0,4.626320635989141,1.6568882834386156,3.313776566877231,2.3612272222936935e-05,35786.08588655217,-41533.6217961546,-7222.943268823032
1151,Spaceway F1,USA,USA,DirecTV Inc.,Commercial,Communications,,GEO,,257.13,35785,35787,2.37e-05,0.05,1436.1,5993.0,3691.0,12300.0,2005-04-26,12.6,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2005-015A,28644,17 Ku-band transponders; high definition.,2005,4,26,,4.487765105653019,42158,42156,84314,42157.0,2,84313.99997627914,42156.99998813957,7.293975805388373e-05,86142.11885016024,86166.0,61527.00838872696,239.28366347266734,61527.00838872695,4.487765105653018,1.0,4.487742001167475,1.7954664104366622,3.5909328208733244,2.3104485540333804e-05,35786.22256639539,-37972.23947775686,-18311.790678554757
1152,Spaceway F2,USA,USA,DirecTV Inc.,Commercial,Communications,,GEO,,260.92,35785,35787,2.37e-05,0.04,1436.1,5993.0,3691.0,12300.0,2005-11-16,12.6,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5 ECA,2005-046B,28903,17 Ku-band transponders; high definition.,2005,11,16,,4.553913084303605,42158,42156,84314,42157.0,2,84313.99997627914,42156.99998813957,7.293975805388373e-05,86142.11885016024,86166.0,62433.89347328837,239.28366347266734,62433.893473288364,4.553913084303604,1.0,4.553889681376921,1.7293190286855722,3.4586380573711444,2.3402926678705963e-05,35786.157697740746,-40055.92423626087,-13142.890948407603
1153,Spainsat,NR,Spain,Hisdesat/Ministry of Defense,Military,Communications,,GEO,,13.06,35745,35826,0.0009609999999999999,0.06,1436.1,3680.0,1467.0,,2006-03-11,,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2006-007A,28946,Secure communications satellite for Spanish Ministry of Defense; both X and Ku-band.,2006,3,11,,0.22794000031045944,42197,42116,84313,42156.5,81,84312.96109140042,42156.48054570021,7.294105571808137e-05,86140.58633130047,86166.0,3124.9890485744004,239.27940647583463,3124.9890485744004,0.22794000031045944,40.5,0.22815736220071284,0.22837482591859173,0.45674965183718347,0.00021736198206784394,35746.03748947385,37835.0687016858,18592.411073959753
1163,ST-2 ,NR,Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,,GEO,,87.99,35783,35791,9.49e-05,0.02,1436.12,5090.0,,,2011-05-20,15.0,Mitsubishi Electric Corporation,Japan,Guiana Space Center,Ariane 5,2011-022B,37606,Will replace ST1. Six antennas 41 Ku-band tarnsponders and 10 C-band transponders.,2011,5,20,(Singapore-Taiwan 2),1.5357152088298105,42162,42154,84316,42158.0,8,84315.99962047536,42157.99981023768,7.293716284091653e-05,86145.18391514434,86167.2,21055.318701926528,239.2921775420676,21055.318701926528,1.5357152088298105,4.0,1.5358100507554864,1.5359048928382932,3.0718097856765865,9.484192539208262e-05,35786.86005566338,-42055.39432395767,2939.519038659359
1164,Star One C1,Brazil,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,295.02,35703,35778,0.000891,0.03,1436.0,4100.0,1750.0,10500.0,2007-11-14,15.0,Thales Alenia Space,France,Guiana Space Center,Ariane 5,2007-056A,32293,Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders services to Brazil and neighboring countries.,2007,11,14,,5.14907035923367,42149,42074,84223,42111.5,75,84222.96660650229,42111.483303251145,7.305800325819076e-05,86002.69685683148,86160.0,70479.21007417339,238.89638015786522,70479.21007417339,5.14907035923367,37.5,5.14826266611955,1.1357304859757265,2.271460971951453,0.000807692995698554,35724.658391458746,-27150.374466777015,32190.600753198105
1165,Star One C2,Brazil,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,290.07,35776,35796,0.00023700000000000001,0.06,1436.1,4100.0,1750.0,,2008-04-18,,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-018B,32768,Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders services to Brazil and neighboring countries.,2008,4,18,,5.062676561259952,42167,42147,84314,42157.0,20,84313.99762791466,42156.99881395733,7.293975805388373e-05,86142.11885016024,86166.0,69409.01226351663,239.28366347266734,69409.01226351662,5.062676561259951,10.0,5.062453935200629,1.2209540070829998,2.4419080141659997,0.00022262605638080076,35782.57342671588,-32252.015138286875,27148.114613157704
1166,Star One C3,Brazil,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,285.0,35791,35848,0.000676,0.02,1437.78,3225.0,1402.0,,2012-11-10,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2012-062A,38991,28 C-band 16 Ku-band entire South American region.,2012,11,10,,4.974188368183839,42219,42162,84381,42190.5,57,84380.9807480335,42190.49037401675,7.285290212226346e-05,86244.81831396361,86266.8,68277.14783188785,239.56893976101003,68277.14783188787,4.97418836818384,28.5,4.973535288061276,1.3103031561507172,2.6206063123014345,0.0006530800396775022,35812.13627272098,-36593.0300079672,20999.72009000107
1167,Star One C4,NR (8/15),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,,GEO,,290.0,35786,35801,0.000178,0.0,1436.1,5634.0,,15600.0,2015-07-15,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2015-034B,40733,48 transponders.,2015,7,15,,5.061454830783556,42172,42157,84329,42164.5,15,84328.99866593935,42164.49933296967,7.292029770721173e-05,86165.10772360968,86166.0,69410.78122179669,239.34752145447132,69410.78122179669,5.061454830783556,7.5,5.061287555313395,1.2220650324245923,2.4441300648491846,0.00016727546891079706,35790.93422248913,-32318.008512450768,27081.199434941504
