name, sec_per_longdegree, semiminorA, meanmotion, semimajorA, eccentricity
AAUSat-5, 15.409200847539049, 6772.9963826950325, 0.0011326539703537385, 6773.0, 0.00103
ABS-2, 239.27940647583463, 42156.499332843094, 7.294105571808137e-05, 42156.5, 0.000178
ABS-3, 239.27940647583463, 42156.49677096046, 7.294105571808137e-05, 42156.5, 0.000391
ABS-3A, 239.36455120886356, 42166.49933300131, 7.291510974285405e-05, 42166.5, 0.000178
ABS-4, 239.28792049474504, 42157.49949890292, 7.293846042816265e-05, 42157.5, 0.000154
ABS-6, 239.27940647583463, 42156.49914307401, 7.294105571808137e-05, 42156.5, 0.000202
ABS-7, 239.27940647583463, 42156.499641217844, 7.294105571808137e-05, 42156.5, 0.00013000000000000002
Advanced Orion 2, 239.28792049474504, 42156.89153626012, 7.293846042816265e-05, 42157.5, 0.005370000000000001
Advanced Orion 3, 239.28792049474504, 42157.03737218734, 7.293846042816265e-05, 42157.5, 0.00468
Advanced Orion 4, 239.62004598427455, 42196.3526859846, 7.28373640371002e-05, 42196.5, 0.00264
Advanced Orion 5, 236.85278862158358, 41871.0, 7.368835563016392e-05, 41871.0, 0.0
Advanced Orion 6, 239.3006917124465, 42158.99657249921, 7.293456778184279e-05, 42159.0, 0.00040300000000000004
AEHF-2, 239.28792049474504, 42157.49750637483, 7.293846042816265e-05, 42157.5, 0.000344
AEHF-3, 238.98998992411546, 42122.468517407666, 7.302938723703489e-05, 42122.5, 0.00122
Aeneas, 16.21114543439004, 7004.285188368617, 0.0010766230301603602, 7006.0, 0.0221
Aerocube 4.5A, 16.238920094412652, 7012.43837762586, 0.0010747815999136835, 7014.0, 0.0211
Aerocube 4.5B, 16.24760292536754, 7014.970420465079, 0.0010742072292210748, 7016.5, 0.0209
Aerocube 5A, 16.313642976698095, 7032.012372002769, 0.0010698586787067144, 7035.5, 0.0315
Aerocube 5B, 16.313642976698095, 7032.012372002769, 0.0010698586787067144, 7035.5, 0.0315
Aerocube 5C, 16.26671059851044, 7020.376271967194, 0.0010729454129184246, 7022.0, 0.0215
Aerocube 6A, 16.287563868826652, 7027.86845352131, 0.0010715717009925454, 7028.0, 0.0061200000000000004
Aerocube 6B, 16.287563868826652, 7027.86845352131, 0.0010715717009925454, 7028.0, 0.0061200000000000004
Aerocube 7A, 16.26671059851044, 7020.376271967194, 0.0010729454129184246, 7022.0, 0.0215
Aerocube 8A, 15.841186971401946, 6896.85558787481, 0.0011017667142905188, 6899.0, 0.0249
Aerocube 8B, 15.841186971401946, 6896.85558787481, 0.0011017667142905188, 6899.0, 0.0249
Afghansat-1, 239.28366347266734, 42156.99425955318, 7.293975805388373e-05, 42157.0, 0.000522
Afristar, 239.28366347266734, 42156.99696373071, 7.293975805388373e-05, 42157.0, 0.00037999999999999997
AIM, 15.91012158025202, 6918.998843763453, 0.0010969930325112468, 6919.0, 0.0005780000000000001
AISat-1, 16.268448030883192, 7022.4948558186925, 0.0010728308248464052, 7022.5, 0.00121
AISSat-1, 16.171247136842155, 6994.4948352257725, 0.0010792793142206279, 6994.5, 0.00122
AISSat-2, 16.18685561107213, 6998.999357050978, 0.0010782385992252192, 6999.0, 0.000429
AIST-1, 16.13311422620042, 6983.486951373217, 0.0010818303444228323, 6983.5, 0.00193
AIST-2, 15.986064801435383, 6940.989626847168, 0.0010917816696436869, 6941.0, 0.00173
Akebono, 21.46160728996794, 8249.261785153869, 0.000813233244096387, 8447.0, 0.215
ALiCE  , 16.313642976698095, 7032.012372002769, 0.0010698586787067144, 7035.5, 0.0315
Alphasat I-XL  , 239.28792049474504, 42157.49999703493, 7.293846042816265e-05, 42157.5, 1.1900000000000001e-05
Alsat-2A, 16.343216107142144, 7043.999929017603, 0.0010679227641318429, 7044.0, 0.00014199999999999998
Amazonas-1, 239.28792049474504, 42157.49869240347, 7.293846042816265e-05, 42157.5, 0.00024900000000000004
Amazonas-2, 239.28366347266734, 42156.99571838581, 7.293975805388373e-05, 42157.0, 0.00045099999999999996
Amazonas-3, 239.28366347266734, 42156.99970348934, 7.293975805388373e-05, 42157.0, 0.00011899999999999999
Amazonas-4A, 239.31346315734731, 42160.49964125188, 7.293067548175444e-05, 42160.5, 0.00013000000000000002
AMC-1, 239.28366347266734, 42156.99767535634, 7.293975805388373e-05, 42157.0, 0.000332
AMC-10, 239.28366347266734, 42156.99856488837, 7.293975805388373e-05, 42157.0, 0.000261
AMC-11, 239.27940647583463, 42156.49843143996, 7.294105571808137e-05, 42156.5, 0.000273
AMC-15, 239.28366347266734, 42156.99903930544, 7.293975805388373e-05, 42157.0, 0.000213
AMC-16, 239.28792049474504, 42157.49949890292, 7.293846042816265e-05, 42157.5, 0.000154
AMC-18, 239.28792049474504, 42157.49783846285, 7.293846042816265e-05, 42157.5, 0.00032
AMC-2, 239.28366347266734, 42156.99829209855, 7.293975805388373e-05, 42157.0, 0.000285
AMC-21, 239.27940647583463, 42156.499332843094, 7.294105571808137e-05, 42156.5, 0.000178
AMC-3, 239.28366347266734, 42156.99903930544, 7.293975805388373e-05, 42157.0, 0.000213
AMC-4, 239.28366347266734, 42156.99970348934, 7.293975805388373e-05, 42157.0, 0.00011899999999999999
AMC-6, 239.28792049474504, 42157.49914309434, 7.293846042816265e-05, 42157.5, 0.000202
AMC-7, 239.27940647583463, 42156.49814678634, 7.294105571808137e-05, 42156.5, 0.000297
AMC-8, 239.27940647583463, 42156.49814678634, 7.294105571808137e-05, 42156.5, 0.000297
AMC-9, 239.27940647583463, 42156.49814678634, 7.294105571808137e-05, 42156.5, 0.000297
